Date,Time,Open,High,Low,Close,Volume
09/18/2014,16:00:00,435.5,436.0,408.8,420.0,17160.24
09/18/2014,20:00:00,420.0,449.0,413.76,424.99,10732.26
09/19/2014,00:00:00,425.0,431.92,421.01,429.05,1550.92
09/19/2014,04:00:00,429.0,429.41,405.7,408.85,3243.81
09/19/2014,08:00:00,408.83,416.4,382.03,391.9,13947.94
09/19/2014,12:00:00,391.25,408.25,381.5,403.0,7233.78
09/19/2014,16:00:00,403.0,405.0,395.01,397.4,2916.34
09/19/2014,20:00:00,397.39,402.5,389.1,393.3,4598.69
09/20/2014,00:00:00,392.99,413.9,385.5,413.8,8198.61
09/20/2014,04:00:00,413.79,416.9,405.51,414.05,5164.74
09/20/2014,08:00:00,415.21,423.0,407.5,417.83,4314.97
09/20/2014,12:00:00,417.83,420.5,411.0,419.37,2381.0
09/20/2014,16:00:00,419.35,426.3,401.1,406.7,7669.16
09/20/2014,20:00:00,406.73,414.5,402.81,408.4,2970.62
09/21/2014,00:00:00,408.4,414.14,407.2,408.0,1435.17
09/21/2014,04:00:00,408.0,408.0,392.23,397.31,7348.12
09/21/2014,08:00:00,400.73,408.0,395.72,399.4,1837.46
09/21/2014,12:00:00,399.41,410.29,398.75,405.22,2452.1
09/21/2014,16:00:00,405.21,406.7,400.13,403.01,2061.8
09/21/2014,20:00:00,403.03,406.0,394.1,399.21,4056.02
09/22/2014,00:00:00,400.03,405.53,398.0,402.98,1380.71
09/22/2014,04:00:00,403.01,411.2,401.24,402.74,1799.97
09/22/2014,08:00:00,402.83,407.6,400.77,404.0,979.78
09/22/2014,12:00:00,404.05,406.0,397.67,400.5,2101.55
09/22/2014,16:00:00,400.48,405.12,400.0,404.05,1043.99
09/22/2014,20:00:00,404.04,408.44,402.88,404.99,2167.62
09/23/2014,00:00:00,404.23,407.0,400.8,403.24,1184.98
09/23/2014,04:00:00,403.39,404.5,401.0,401.01,477.88
09/23/2014,08:00:00,401.95,401.99,392.15,397.0,3094.68
09/23/2014,12:00:00,397.0,399.0,394.57,397.9,1061.2
09/23/2014,16:00:00,397.9,446.0,395.0,434.0,23899.03
09/23/2014,20:00:00,433.96,447.11,432.36,438.65,8800.93
09/24/2014,00:00:00,438.01,440.28,428.0,429.69,2624.19
09/24/2014,04:00:00,429.6,434.5,422.0,422.5,3534.1
09/24/2014,08:00:00,422.8,432.87,422.0,428.0,2202.47
09/24/2014,12:00:00,428.03,437.0,425.81,428.4,2534.44
09/24/2014,16:00:00,428.62,434.63,428.14,429.41,1279.96
09/24/2014,20:00:00,429.45,431.3,422.27,424.51,2220.0
09/25/2014,00:00:00,424.51,426.97,414.7,418.7,3932.84
09/25/2014,04:00:00,418.66,420.15,402.33,412.0,4288.8
09/25/2014,08:00:00,410.92,415.87,408.71,409.92,814.59
09/25/2014,12:00:00,409.56,420.0,407.0,413.8,3183.44
09/25/2014,16:00:00,413.3,414.0,407.0,410.25,1158.13
09/25/2014,20:00:00,410.28,414.0,406.2,409.86,1624.71
09/26/2014,00:00:00,409.67,415.0,406.0,411.45,1658.02
09/26/2014,04:00:00,410.95,412.0,403.13,404.59,1711.07
09/26/2014,08:00:00,404.57,407.2,396.2,398.5,3152.17
09/26/2014,12:00:00,398.51,406.0,396.25,403.2,1677.48
09/26/2014,16:00:00,403.03,406.0,402.66,404.87,1412.69
09/26/2014,20:00:00,404.87,408.85,404.0,404.01,1387.37
09/27/2014,00:00:00,404.03,407.16,401.13,405.9,999.0
09/27/2014,04:00:00,405.9,409.04,404.8,406.48,823.21
09/27/2014,08:00:00,404.89,407.88,403.8,405.9,535.27
09/27/2014,12:00:00,405.6,406.92,395.5,396.0,1975.29
09/27/2014,16:00:00,396.0,400.73,393.2,397.39,1804.62
09/27/2014,20:00:00,397.39,402.0,394.82,399.8,785.36
09/28/2014,00:00:00,399.8,402.9,396.75,401.08,1333.07
09/28/2014,04:00:00,400.05,400.79,394.98,398.6,1114.31
09/28/2014,08:00:00,398.67,399.5,396.1,396.1,903.41
09/28/2014,12:00:00,396.14,396.46,385.5,388.85,4815.51
09/28/2014,16:00:00,388.86,389.0,376.5,382.5,4160.64
09/28/2014,20:00:00,382.31,383.84,365.0,376.7,7237.49
